pos,team,pld,w,d,l,gf,ga,gd,pts,qualification_or_relegation,season
1,Barcelona (C),38,30,4,4,110,21,+89,94,Qualification for the Champions League group stage,2014-15
2,Real Madrid,38,30,2,6,118,38,+80,92,Qualification for the Champions League group stage,2014-15
3,Atlético Madrid,38,23,9,6,67,29,+38,78,Qualification for the Champions League group stage,2014-15
4,Valencia,38,22,11,5,70,32,+38,77,Qualification for the Champions League play-off round,2014-15
5,Sevilla,38,23,7,8,71,45,+26,76,Qualification for the Champions League group stage[a],2014-15
6,Villarreal,38,16,12,10,48,37,+11,60,Qualification for the Europa League group stage[b],2014-15
7,Athletic Bilbao,38,15,10,13,42,41,+1,55,Qualification for the Europa League third qualifying round[b],2014-15
8,Celta Vigo,38,13,12,13,47,44,+3,51,,2014-15
9,Málaga,38,14,8,16,42,48,−6,50,,2014-15
10,Espanyol,38,13,10,15,47,51,−4,49[c],,2014-15
11,Rayo Vallecano,38,15,4,19,46,68,−22,49[c],,2014-15
12,Real Sociedad,38,11,13,14,44,51,−7,46,,2014-15
13,Elche[d] (R),38,11,8,19,35,62,−27,41,Relegation to Segunda División,2014-15
14,Levante,38,9,10,19,34,67,−33,37[e],,2014-15
15,Getafe,38,10,7,21,33,64,−31,37[e],,2014-15
16,Deportivo La Coruña,38,7,14,17,35,60,−25,35[f],,2014-15
17,Granada,38,7,14,17,29,64,−35,35[f],,2014-15
18,Eibar,38,9,8,21,34,55,−21,35[f],,2014-15
19,Almería[g] (R),38,8,8,22,35,64,−29,29,Relegation to Segunda División,2014-15
20,Córdoba (R),38,3,11,24,22,68,−46,20,Relegation to Segunda División,2014-15
1,Barcelona (C),38,29,4,5,112,29,+83,91,Qualification for the Champions League group stage,2015-16
2,Real Madrid,38,28,6,4,110,34,+76,90,Qualification for the Champions League group stage,2015-16
3,Atlético Madrid,38,28,4,6,63,18,+45,88,Qualification for the Champions League group stage,2015-16
4,Villarreal,38,18,10,10,44,35,+9,64,Qualification for the Champions League play-off round,2015-16
5,Athletic Bilbao,38,18,8,12,58,45,+13,62,Qualification for the Europa League group stage[a],2015-16
6,Celta Vigo,38,17,9,12,51,59,−8,60,Qualification for the Europa League group stage[a],2015-16
7,Sevilla,38,14,10,14,51,50,+1,52,Qualification for the Champions League group stage[b],2015-16
8,Málaga,38,12,12,14,38,35,+3,48[c],,2015-16
9,Real Sociedad,38,13,9,16,45,48,−3,48[c],,2015-16
10,Real Betis,38,11,12,15,34,52,−18,45,,2015-16
11,Las Palmas,38,12,8,18,45,53,−8,44[d],,2015-16
12,Valencia,38,11,11,16,46,48,−2,44[d],,2015-16
13,Espanyol,38,12,7,19,40,74,−34,43[e],,2015-16
14,Eibar,38,11,10,17,49,61,−12,43[e],,2015-16
15,Deportivo La Coruña,38,8,18,12,45,61,−16,42,,2015-16
16,Granada,38,10,9,19,46,69,−23,39[f],,2015-16
17,Sporting Gijón,38,10,9,19,40,62,−22,39[f],,2015-16
18,Rayo Vallecano (R),38,9,11,18,52,73,−21,38,Relegation to Segunda División,2015-16
19,Getafe (R),38,9,9,20,37,67,−30,36,Relegation to Segunda División,2015-16
20,Levante (R),38,8,8,22,37,70,−33,32,Relegation to Segunda División,2015-16
1,Real Madrid (C),38,29,6,3,106,41,+65,93,Qualification for the Champions League group stage,2016-17
2,Barcelona,38,28,6,4,116,37,+79,90,Qualification for the Champions League group stage,2016-17
3,Atlético Madrid,38,23,9,6,70,27,+43,78,Qualification for the Champions League group stage,2016-17
4,Sevilla,38,21,9,8,69,49,+20,72,Qualification for the Champions League play-off round,2016-17
5,Villarreal,38,19,10,9,56,33,+23,67,Qualification for the Europa League group stage[a],2016-17
6,Real Sociedad,38,19,7,12,59,53,+6,64,Qualification for the Europa League group stage[a],2016-17
7,Athletic Bilbao,38,19,6,13,53,43,+10,63,Qualification for the Europa League third qualifying round,2016-17
8,Espanyol,38,15,11,12,49,50,−1,56,,2016-17
9,Alavés,38,14,13,11,41,43,−2,55,,2016-17
10,Eibar,38,15,9,14,56,51,+5,54,,2016-17
11,Málaga,38,12,10,16,49,55,−6,46[b],,2016-17
12,Valencia,38,13,7,18,56,65,−9,46[b],,2016-17
13,Celta Vigo,38,13,6,19,53,69,−16,45,,2016-17
14,Las Palmas,38,10,9,19,53,74,−21,39[c],,2016-17
15,Real Betis,38,10,9,19,41,64,−23,39[c],,2016-17
16,Deportivo La Coruña,38,8,12,18,43,61,−18,36,,2016-17
17,Leganés,38,8,11,19,36,55,−19,35,,2016-17
18,Sporting Gijón (R),38,7,10,21,42,72,−30,31,Relegation to Segunda División,2016-17
19,Osasuna (R),38,4,10,24,40,94,−54,22,Relegation to Segunda División,2016-17
20,Granada (R),38,4,8,26,30,82,−52,20,Relegation to Segunda División,2016-17
1,Barcelona (C),38,28,9,1,99,29,+70,93,Qualification for the Champions League group stage,2017-18
2,Atlético Madrid,38,23,10,5,58,22,+36,79,Qualification for the Champions League group stage,2017-18
3,Real Madrid,38,22,10,6,94,44,+50,76,Qualification for the Champions League group stage,2017-18
4,Valencia,38,22,7,9,65,38,+27,73,Qualification for the Champions League group stage,2017-18
5,Villarreal,38,18,7,13,57,50,+7,61,Qualification for the Europa League group stage[a],2017-18
